"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"0500000US13117","Forsyth County, Georgia","72208","1311","100909","3710","83.9","0.9","93022","5935","N","N","150145","55339","N","N","-","**","N","N","143429","23009","N","N","-","**","N","N","N","N","N","N","119883","32147","6.7","1.1","61088","12205","78.2","1.2","100053","7776","1.1","0.6","47040","9968","35.8","1.1","110495","7676","42.8","1.1","116110","6731","20.3","1.2","52411","6701","59049","1771","111150","3876","56.1","2.1","120665","5435","43.9","2.1","102282","7417","87.6","2.0","121379","6065","9.4","1.8","49579","14636","3.0","0.9","54250","46399","13159","1267","48190","4660","56.5","5.7","48144","5479","46.2","6.2","43349","11789","10.2","3.6","88039","30907","43.5","5.7","48425","10738","33.4","5.3","42390","15915","10.2","4.3","79016","48478","30.2","(X)","(X)","(X)","30.6","(X)","(X)","(X)","26.8","(X)","(X)","(X)",
"0500000US13121","Fulton County, Georgia","396184","4547","63510","2970","49.3","1.0","91976","4022","41.8","0.9","38516","2127","N","N","39137","25508","5.8","0.4","95867","11960","N","N","103912","26655","N","N","46383","21071","1.6","0.3","58422","17924","5.4","0.4","52116","3995","45.7","0.9","97017","5840","4.0","0.5","31055","6345","40.7","1.1","67390","3312","36.6","0.9","75673","2649","18.7","0.6","42180","2591","206284","5635","86567","4312","48.5","1.9","90128","7698","51.5","1.9","84027","5469","66.8","1.8","120042","4344","26.7","1.7","37282","4231","6.5","0.8","51751","5300","189900","5982","45347","2281","52.7","1.8","40912","1976","45.1","1.7","36670","2916","7.5","1.0","77902","8064","47.3","1.8","51451","2563","38.6","2.3","46277","4436","8.8","1.3","80516","18248","29.5","(X)","(X)","(X)","32.0","(X)","(X)","(X)","26.2","(X)","(X)","(X)",
"0500000US13127","Glynn County, Georgia","31757","2289","48926","5963","74.3","2.9","49902","6666","N","N","44438","13713","N","N","-","**","N","N","86023","51057","N","N","-","**","N","N","52682","30738","N","N","72254","26262","N","N","31083","11822","70.2","3.2","50742","5598","1.8","1.2","11839","2227","27.8","3.4","52488","6135","40.9","3.2","54128","14743","29.5","2.4","39548","8482","20360","1988","59380","8569","N","N","58810","11224","N","N","59638","14785","N","N","71247","10262","N","N","32771","14176","N","N","17374","31393","11397","1762","31594","6023","56.9","7.3","28499","6502","51.2","7.6","25649","5910","5.6","3.3","64700","29685","43.1","7.3","42707","19547","35.0","7.4","30311","16846","8.2","4.9","66444","37529","36.0","(X)","(X)","(X)","37.1","(X)","(X)","(X)","32.3","(X)","(X)","(X)",
"0500000US13135","Gwinnett County, Georgia","290405","2752","67155","2308","51.6","1.1","76645","2621","27.8","0.9","61403","5467","N","N","N","N","10.7","0.6","62948","6539","N","N","-","**","7.7","0.9","43395","5881","2.1","0.4","80896","20546","16.2","0.7","48529","4432","44.0","0.9","81378","2650","2.7","0.6","29928","8954","38.4","1.1","60110","4244","43.5","1.0","81748","3273","15.3","0.7","49975","5843","219024","4969","75832","2857","50.8","1.6","71643","4546","49.2","1.6","79556","2772","75.0","1.9","85450","3383","18.2","1.7","46009","4812","6.8","1.1","50844","7493","71381","4043","41186","1672","54.5","2.8","38349","3475","47.0","3.3","36068","3673","7.5","1.9","62136","18850","45.5","2.8","45253","5336","34.9","2.3","39005","3677","10.6","2.3","75144","13913","34.9","(X)","(X)","(X)","36.1","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
"0500000US13139","Hall County, Georgia","62038","1709","54917","3829","87.6","1.4","57644","3157","7.1","1.0","36640","10887","N","N","N","N","N","N","51402","30113","N","N","-","**","N","N","40766","8371","N","N","N","N","18.5","1.4","47316","7674","71.6","1.5","60660","3686","3.1","0.8","30785","14548","31.8","2.1","51346","4753","38.8","2.1","64299","8003","26.3","1.7","50194","5743","45843","2242","62802","3802","40.2","2.8","53485","7645","59.8","2.8","68924","5276","76.0","2.7","74343","5495","17.4","2.3","36117","9485","6.7","2.0","43087","6375","16195","1534","29194","4158","54.0","5.0","24093","2398","46.4","5.0","22804","2337","7.6","2.7","70782","19173","46.0","5.0","35143","4793","33.8","6.3","30961","7819","12.2","4.8","43117","12010","37.9","(X)","(X)","(X)","37.8","(X)","(X)","(X)","34.2","(X)","(X)","(X)",
"0500000US13151","Henry County, Georgia","74473","1560","66905","3194","52.1","1.7","67092","5139","43.1","1.6","66566","6293","N","N","-","**","N","N","84502","26700","N","N","-","**","N","N","41279","1169","N","N","70577","17782","N","N","68903","22700","49.2","1.6","66097","5989","1.1","0.8","14362","15198","36.1","2.4","69671","6243","45.0","2.3","74551","7758","17.9","1.5","44849","7704","59014","2705","75245","4310","44.3","3.9","73986","7750","55.7","3.9","76054","5103","70.8","3.9","87647","5004","22.3","3.3","48270","4753","7.0","2.4","44887","13104","15459","2487","36819","4251","60.1","6.7","36463","4381","53.8","6.9","34793","8929","6.3","3.9","87147","28091","39.9","6.7","37188","10164","33.8","6.7","35639","7991","6.1","3.4","62314","41066","35.6","(X)","(X)","(X)","37.6","(X)","(X)","(X)","24.9","(X)","(X)","(X)",
"0500000US13153","Houston County, Georgia","55901","1389","62493","2938","63.6","2.7","69088","6281","31.7","2.3","46521","10409","N","N","-","**","N","N","N","N","N","N","-","**","N","N","N","N","N","N","83730","13056","N","N","60648","25571","60.6","2.6","70094","6408","2.7","1.5","39211","44158","38.0","2.7","61695","6523","40.1","2.5","70906","7019","19.2","1.7","49558","5407","40617","2371","70854","6642","48.7","3.4","72952","17423","51.3","3.4","70666","4998","72.6","4.3","85658","11045","18.1","3.5","28938","9097","9.3","3.5","50085","16944","15284","2169","38883","6174","60.1","7.7","31520","2477","52.7","8.6","31324","2392","7.5","4.6","38350","29104","39.9","7.7","55105","21958","30.3","7.9","47447","13619","9.6","4.9","71413","7338","35.6","(X)","(X)","(X)","37.9","(X)","(X)","(X)","27.3","(X)","(X)","(X)",
"0500000US13179","Liberty County, Georgia","22952","1001","45138","6981","45.7","2.9","49346","3648","46.5","2.7","39607","4941","N","N","53897","31436","N","N","-","**","N","N","-","**","N","N","51506","16241","N","N","N","N","N","N","48411","17057","40.9","2.6","49540","3647","13.3","3.0","30845","7095","42.0","3.4","45929","7284","31.9","2.7","54553","5566","12.8","2.3","35009","9723","15540","1305","49343","2758","N","N","44373","7609","N","N","56606","5884","N","N","55627","6190","N","N","32143","21291","N","N","42141","12498","7412","1153","37149","6580","36.5","8.0","23152","17200","30.1","7.9","13682","14821","6.4","3.6","41115","11237","63.5","8.0","41551","7073","52.1","8.7","41217","1795","11.5","6.6","50930","42465","38.3","(X)","(X)","(X)","41.0","(X)","(X)","(X)","32.6","(X)","(X)","(X)",
"0500000US13185","Lowndes County, Georgia","40835","1341","41449","3572","62.2","2.4","50445","7436","35.5","2.4","31302","4080","N","N","-","**","N","N","-","**","N","N","-","**","N","N","34167","19182","N","N","34037","25795","N","N","42131","22382","59.3","2.2","50550","7295","12.7","1.9","25254","8476","34.0","2.9","46119","7032","34.9","2.4","49557","8283","18.5","1.6","40549","11978","26786","1731","51973","5107","N","N","46852","10624","N","N","59255","5925","N","N","70902","7325","N","N","26050","10907","N","N","50468","27224","14049","1740","21517","2643","56.4","6.2","21157","2313","47.7","6.4","20108","6044","8.7","4.1","25094","6679","43.6","6.2","23220","11057","36.5","6.8","20928","10538","7.1","3.2","34020","40260","34.0","(X)","(X)","(X)","32.5","(X)","(X)","(X)","36.1","(X)","(X)","(X)",
"0500000US13215","Muscogee County, Georgia","73051","2017","40060","3076","45.3","2.2","55485","6211","46.0","2.0","30555","2390","N","N","N","N","N","N","N","N","N","N","-","**","N","N","N","N","N","N","45789","33744","N","N","39550","8500","42.0","1.9","55577","5738","5.5","1.4","23760","2548","37.8","2.1","43652","4686","34.5","1.6","48713","5338","22.3","1.3","31566","5689","46130","2690","52628","4692","45.8","3.2","47474","4973","54.2","3.2","56515","8447","61.5","3.4","77138","9404","29.8","3.1","24743","2476","8.7","1.9","36773","10680","26921","2453","24434","2914","60.8","4.4","20555","3372","54.7","4.5","19684","4203","6.0","2.2","24801","18191","39.2","4.4","31063","2705","34.6","4.8","29996","5277","4.6","1.9","63591","64747","38.6","(X)","(X)","(X)","39.4","(X)","(X)","(X)","35.2","(X)","(X)","(X)",
"0500000US13217","Newton County, Georgia","35825","1090","48628","5577","55.5","3.0","51046","3161","43.0","3.1","42186","8966","N","N","-","**","N","N","-","**","N","N","-","**","N","N","-","**","N","N","40456","32975","N","N","43864","34764","53.0","3.1","51533","3400","2.5","2.0","41457","15108","34.3","3.5","40511","16816","42.4","3.8","64522","12291","20.7","2.3","32392","15995","24742","1748","51722","6692","N","N","41973","10775","N","N","58980","10872","N","N","73632","7909","N","N","25788","10417","N","N","31973","4931","11083","1649","32059","15091","52.3","7.4","18018","7058","44.8","7.1","14306","7148","7.5","5.0","34208","86998","47.7","7.4","65471","11123","38.7","8.2","64746","17782","9.0","5.1","81090","30884","33.3","(X)","(X)","(X)","32.3","(X)","(X)","(X)","33.0","(X)","(X)","(X)",
"0500000US13223","Paulding County, Georgia","53249","1006","60856","6988","76.5","2.8","60889","6852","N","N","63490","11832","N","N","N","N","N","N","-","**","N","N","-","**","N","N","103929","18491","N","N","43325","29023","N","N","N","N","74.8","2.5","60983","6793","1.3","1.0","30374","29236","37.0","2.7","67149","14225","42.4","3.3","70298","7016","19.4","2.0","36424","8939","42064","1822","68825","5403","N","N","69536","8818","N","N","67566","7120","N","N","75234","7870","N","N","40365","15325","N","N","67000","29953","11185","1721","36300","11619","56.8","8.2","25864","9536","51.6","8.6","27422","15244","5.2","4.7","25028","18668","43.2","8.2","45852","13629","33.5","9.0","36336","10929","9.7","6.0","50707","26493","36.1","(X)","(X)","(X)","33.8","(X)","(X)","(X)","37.3","(X)","(X)","(X)",
"0500000US13245","Richmond County, Georgia","75909","2070","41419","1926","41.2","1.8","45964","2281","54.2","2.0","38243","4172","N","N","24703","17527","N","N","49500","36450","N","N","-","**","N","N","N","N","N","N","35407","7793","N","N","40670","10643","38.3","1.9","46685","3151","4.4","1.2","25667","18113","34.3","2.1","42145","4555","38.1","1.8","45644","4464","23.3","1.2","37572","4889","47859","2551","46640","3526","39.8","3.8","39575","7709","60.2","3.8","53517","7993","58.6","4.0","65938","5718","32.1","3.5","24840","5530","9.3","2.2","40228","8230","28050","2598","32240","4556","52.6","4.6","31360","4398","44.0","4.8","28698","4899","8.6","3.3","47065","8672","47.4","4.6","34411","8913","39.6","4.8","30621","10109","7.8","2.6","60147","25270","37.9","(X)","(X)","(X)","39.5","(X)","(X)","(X)","33.2","(X)","(X)","(X)",
"0500000US13247","Rockdale County, Georgia","30381","1165","56820","2805","44.5","2.8","56388","5950","51.7","2.6","57110","5620","N","N","-","**","N","N","N","N","N","N","-","**","N","N","-","**","N","N","78133","72578","N","N","28042","25989","39.7","2.4","60031","6036","2.0","1.4","63202","39925","28.9","4.5","56544","3148","46.6","3.9","66652","7054","22.5","2.5","46665","4481","22386","1665","62786","5047","N","N","55466","6340","N","N","73635","14008","N","N","70997","12137","N","N","45875","18319","N","N","43854","17594","7995","1383","36928","6597","58.7","8.5","31404","7881","50.6","8.1","29253","2948","8.1","5.2","77931","8131","41.3","8.5","41853","15034","31.9","8.0","40417","14949","9.4","6.3","52625","38206","53.0","(X)","(X)","(X)","55.7","(X)","(X)","(X)","44.4","(X)","(X)","(X)",
"0500000US13285","Troup County, Georgia","24493","1292","42371","8429","64.8","3.3","51832","4204","31.1","3.1","30200","8721","N","N","-","**","N","N","70106","65099","N","N","-","**","N","N","-","**","N","N","25267","16382","N","N","18907","8188","63.3","3.2","52152","5063","3.1","2.0","18573","3373","28.5","3.7","46319","15045","42.5","3.1","51312","2425","25.9","2.1","30876","5478","16980","1467","51564","3681","N","N","45430","17783","N","N","58448","7328","N","N","65310","3656","N","N","22824","5636","N","N","51598","8327","7513","1361","24993","11148","53.8","7.8","13775","4430","52.6","8.2","13725","4391","1.1","1.5","-","**","46.2","7.8","45417","12677","43.3","8.4","42047","14200","2.9","2.1","88776","67702","47.8","(X)","(X)","(X)","47.2","(X)","(X)","(X)","46.3","(X)","(X)","(X)",
"0500000US13295","Walker County, Georgia","25110","1422","39209","5411","94.4","2.1","38960","7663","N","N","41156","11690","N","N","-","**","N","N","N","N","N","N","-","**","N","N","-","**","N","N","38689","372","N","N","39434","7565","93.8","2.2","38347","8247","0.9","1.1","45660","36345","32.4","3.3","31371","11758","37.9","3.2","49929","18491","28.8","3.1","27437","10374","17486","1623","52353","11942","N","N","43683","11448","N","N","60731","10042","N","N","65163","3737","N","N","35017","11488","N","N","27918","3222","7624","1428","20652","4368","61.9","8.0","20863","5074","56.2","8.8","20238","7097","5.7","3.9","30748","9474","38.1","8.0","19765","8279","37.5","8.0","20046","8432","0.6","0.9","-","**","31.3","(X)","(X)","(X)","33.2","(X)","(X)","(X)","26.5","(X)","(X)","(X)",
"0500000US13297","Walton County, Georgia","30715","1037","53202","4182","82.7","1.7","58518","4692","N","N","36189","10324","N","N","-","**","N","N","92775","87122","N","N","-","**","N","N","43674","30026","N","N","44727","7047","N","N","43881","8372","81.4","1.8","59164","4297","2.5","1.2","48564","20466","29.5","2.6","58045","7768","41.9","3.2","62379","5186","26.1","2.6","36931","10039","23737","1547","59177","4741","N","N","66787","11564","N","N","53393","4730","N","N","71279","6904","N","N","29492","6014","N","N","67776","36259","6978","1369","27198","4110","60.5","10.5","25163","2864","54.2","10.4","24596","3626","6.3","3.8","44898","33588","39.5","10.5","47755","25718","32.0","9.2","32307","17132","7.5","5.3","65438","34336","40.0","(X)","(X)","(X)","39.7","(X)","(X)","(X)","38.5","(X)","(X)","(X)",
"0500000US13313","Whitfield County, Georgia","35858","1376","46399","3353","89.3","2.2","46980","2855","N","N","31989","16333","N","N","-","**","N","N","51667","33201","N","N","-","**","N","N","36745","26492","N","N","N","N","21.9","2.1","45041","9934","72.6","2.2","50231","5683","3.0","1.1","27031","21221","31.1","3.0","49122","3317","41.1","2.5","51239","9487","24.8","1.9","31283","2660","25591","1947","51142","5306","N","N","48489","4675","N","N","54820","6695","N","N","57426","5338","N","N","31228","5510","N","N","45919","19357","10267","1601","24447","4181","61.4","6.9","25853","5276","55.5","6.4","24624","4495","5.9","3.3","39773","70719","38.6","6.9","22492","5825","32.2","7.1","22136","4668","6.4","4.0","29537","18011","37.4","(X)","(X)","(X)","38.4","(X)","(X)","(X)","32.5","(X)","(X)","(X)",
"0500000US15001","Hawaii County, Hawaii","69818","1668","55750","3382","43.1","2.2","55244","8463","N","N","65365","17308","N","N","-","**","25.9","2.3","60977","1934","10.8","1.6","44939","8869","N","N","31977","22011","18.5","2.4","55716","14685","N","N","57909","6283","41.3","2.1","52354","8701","2.1","0.9","34777","6638","24.3","1.9","61226","4687","42.5","2.2","60669","4587","31.1","1.7","42335","6632","47584","2592","65993","4646","31.4","3.4","62305","7710","68.6","3.4","67018","5023","71.2","3.5","76570","6151","20.2","2.9","40389","10828","8.6","2.3","48517","13115","22234","2257","31765","3463","51.3","4.6","33717","7266","41.5","4.6","30437","6744","9.8","3.4","60993","45152","48.7","4.6","30304","9625","41.2","4.2","23523","10600","7.4","3.3","55465","30150","36.7","(X)","(X)","(X)","38.5","(X)","(X)","(X)","31.0","(X)","(X)","(X)",
"0500000US15003","Honolulu County, Hawaii","309169","3715","80513","1671","27.3","0.9","86027","6749","2.8","0.4","74808","8084","N","N","N","N","45.0","1.0","81432","2378","7.2","0.6","58687","3775","N","N","59375","24964","16.9","0.9","85618","4725","7.1","0.6","62489","7658","24.8","0.8","88827","6008","3.3","0.5","42003","10134","31.5","0.8","79506","3522","37.2","0.7","94473","3581","28.0","0.8","69427","3027","215927","4028","93131","2233","38.2","1.5","86069","4961","61.8","1.5","97426","2593","76.2","1.3","102316","2892","16.3","1.1","61827","4845","7.5","0.9","70213","10516","93242","4366","47117","3244","49.8","2.1","39715","3087","41.8","2.1","33725","3645","8.0","1.3","77529","9703","50.2","2.1","53125","3603","37.4","2.3","41805","3759","12.8","1.8","94915","15578","38.4","(X)","(X)","(X)","40.2","(X)","(X)","(X)","31.9","(X)","(X)","(X)",
"0500000US15007","Kauai County, Hawaii","23214","1021","71344","10599","44.7","2.6","69470","18949","N","N","N","N","N","N","N","N","31.7","3.3","78825","17850","N","N","60509","17507","N","N","N","N","N","N","83966","37100","N","N","56385","13175","40.9","2.9","69594","19043","1.0","0.7","43856","39488","22.5","3.6","71497","17807","42.7","3.6","85224","11504","33.9","2.8","64151","15290","15577","1264","84633","3684","N","N","81859","3695","N","N","88444","9014","N","N","92054","10695","N","N","67923","33721","N","N","46327","32301","7637","1143","39354","7146","47.0","7.0","37041","9315","40.1","7.0","32178","13487","6.9","4.1","67962","46972","53.0","7.0","41232","9246","39.7","7.2","31128","19636","13.3","6.0","47292","37968","46.0","(X)","(X)","(X)","46.3","(X)","(X)","(X)","41.9","(X)","(X)","(X)",
"0500000US15009","Maui County, Hawaii","53612","1945","72257","4699","49.4","2.4","73459","6500","N","N","-","**","N","N","-","**","26.3","2.2","79005","11679","10.5","1.6","63890","6871","N","N","133526","67213","13.3","2.1","68525","22329","N","N","74583","12669","44.5","2.3","71722","9182","1.4","0.9","93203","80449","27.4","2.0","77894","7894","43.1","2.0","74010","11671","28.2","1.5","61250","9747","36383","1883","78797","4953","34.1","3.8","68276","8649","65.9","3.8","89253","8642","73.2","4.4","92098","6638","17.4","3.8","54968","11218","9.4","2.5","49852","14904","17229","1807","42419","5029","50.9","4.8","34174","10925","43.0","4.8","26826","7792","7.9","3.0","120564","59779","49.1","4.8","54862","14087","35.3","4.8","41053","3906","13.8","3.5","105680","17957","34.4","(X)","(X)","(X)","34.8","(X)","(X)","(X)","27.4","(X)","(X)","(X)",
"0500000US16001","Ada County, Idaho","167026","2212","61301","2253","92.8","1.1","61929","2637","N","N","49220","45785","N","N","105572","65936","N","N","37116","21562","N","N","-","**","N","N","43594","6547","N","N","70000","14388","6.2","0.9","39312","8179","88.6","1.1","63219","3137","3.6","0.6","30398","11272","36.4","1.2","65302","3492","37.5","1.4","74786","6303","22.5","1.0","40010","5110","106417","4055","77866","3697","42.1","2.3","76128","6904","57.9","2.3","78579","3677","81.0","2.3","87279","3707","13.3","2.1","40982","5062","5.7","1.2","53454","13297","60609","4084","34468","2450","53.2","3.3","30273","4404","45.6","3.8","24902","4432","7.6","2.0","60769","17850","46.8","3.3","40506","3747","37.8","3.6","36862","3935","9.0","2.0","56609","7373","34.4","(X)","(X)","(X)","33.2","(X)","(X)","(X)","35.6","(X)","(X)","(X)",
"0500000US16005","Bannock County, Idaho","30106","1132","48429","2865","91.5","2.8","49971","3073","N","N","-","**","N","N","N","N","N","N","16060","4389","N","N","-","**","N","N","37891","30629","N","N","16393","9199","N","N","35504","19737","87.8","2.5","51475","3241","6.3","2.0","35758","13071","34.2","2.8","48503","9409","36.0","2.6","52115","9498","23.5","2.3","48030","7057","19480","1506","59198","6699","N","N","46456","11695","N","N","64896","9700","N","N","71044","9140","N","N","25625","11050","N","N","36744","14464","10626","1378","31238","8733","48.5","6.9","23458","5154","40.9","6.3","21547","3641","7.6","3.6","35706","27795","51.5","6.9","44414","9149","40.8","6.9","40081","24049","10.7","4.1","66514","33498","33.1","(X)","(X)","(X)","31.1","(X)","(X)","(X)","35.8","(X)","(X)","(X)",
"0500000US16019","Bonneville County, Idaho","38464","1040","59706","2968","91.9","1.8","60986","2918","N","N","-","**","N","N","N","N","N","N","82214","34888","N","N","-","**","N","N","54288","4583","N","N","42663","14785","N","N","53434","10945","88.8","1.7","61773","3054","4.3","1.3","30239","14180","38.3","2.0","65559","6472","32.7","2.4","68182","7881","24.6","1.8","43583","5987","27415","1498","68570","2925","N","N","69730","10369","N","N","68312","2603","N","N","75788","4094","N","N","30664","10225","N","N","57838","32206","11049","1217","31490","6115","50.4","6.0","22530","9344","43.7","6.1","20944","9060","6.7","2.7","36414","16054","49.6","6.0","39750","10735","39.7","6.4","33452","9450","9.9","5.4","82675","46701","27.6","(X)","(X)","(X)","27.5","(X)","(X)","(X)","27.0","(X)","(X)","(X)",
"0500000US16027","Canyon County, Idaho","69859","1249","48437","2510","87.0","1.5","48482","2569","N","N","-","**","N","N","36326","17750","N","N","N","N","N","N","-","**","N","N","50459","12460","N","N","N","N","18.4","1.5","42946","9481","78.1","1.6","49424","2896","3.6","1.1","26158","11386","35.7","2.0","52957","4871","36.1","1.7","55117","4996","24.6","1.2","37641","4933","47398","2396","56321","2624","45.9","3.0","50717","3890","54.1","3.0","60982","4924","79.3","3.7","61606","3275","14.4","2.7","34591","5373","6.3","1.9","42045","4815","22461","2433","27160","4987","52.0","6.2","22868","2573","46.4","5.7","21890","3171","5.6","3.1","37169","11127","48.0","6.2","36317","7035","33.4","6.0","34757","9596","14.6","5.3","65011","33744","29.8","(X)","(X)","(X)","30.6","(X)","(X)","(X)","26.5","(X)","(X)","(X)",
"0500000US16055","Kootenai County, Idaho","58875","1834","51765","2515","93.2","1.7","51620","2583","N","N","-","**","N","N","54611","4942","N","N","35969","13815","N","N","-","**","N","N","63860","634","N","N","47738","6692","N","N","63789","11588","92.4","1.8","51756","2727","4.8","1.7","36483","7112","30.5","1.9","54957","8056","35.9","1.9","58603","10385","28.7","1.7","42486","5145","39927","2610","60784","5718","N","N","53225","8202","N","N","65214","6070","N","N","71445","4593","N","N","21219","11832","N","N","31943","13597","18948","1964","34035","8806","57.4","5.3","35360","8734","40.1","5.3","21890","7002","17.4","5.6","50844","2671","42.6","5.3","30088","10975","33.5","5.4","26427","3047","9.0","4.0","42876","20937","29.1","(X)","(X)","(X)","25.6","(X)","(X)","(X)","32.6","(X)","(X)","(X)",
"0500000US16083","Twin Falls County, Idaho","30119","865","51210","6135","95.5","1.8","50650","6125","N","N","-","**","N","N","-","**","N","N","68583","41512","N","N","-","**","N","N","N","N","N","N","-","**","N","N","50721","17752","86.3","1.7","50517","6869","3.9","2.1","24836","10570","38.1","2.5","52344","10260","34.4","2.4","63579","8000","23.6","1.6","37189","11021","22053","1433","61316","4962","N","N","53705","9248","N","N","64666","6275","N","N","64918","6997","N","N","33341","13956","N","N","37263","25379","8066","1458","25846","5208","49.6","7.6","19237","4801","44.3","7.7","17287","3008","5.2","3.5","42367","32521","50.4","7.6","31892","7432","35.3","7.0","31640","10170","15.1","6.1","40147","39347","32.7","(X)","(X)","(X)","31.6","(X)","(X)","(X)","33.8","(X)","(X)","(X)",
"0500000US17001","Adams County, Illinois","27414","734","51624","3570","94.2","1.6","52410","5961","N","N","24946","3966","N","N","-","**","N","N","N","N","N","N","-","**","N","N","-","**","N","N","-","**","N","N","N","N","93.3","1.4","52338","5824","3.0","1.2","21824","14256","31.9","2.4","55768","9145","35.4","2.3","64032","9256","29.8","1.9","39656","4648","18443","859","62324","6764","N","N","60115","3256","N","N","67234","5307","N","N","72803","8532","N","N","32047","18597","N","N","45129","25188","8971","944","30320","4305","62.0","6.8","23037","5402","55.3","7.0","22450","5604","6.8","3.0","26921","16572","38.0","6.8","41976","2988","33.2","6.5","40763","8103","4.8","3.3","102806","51025","32.2","(X)","(X)","(X)","33.7","(X)","(X)","(X)","28.1","(X)","(X)","(X)",
"0500000US17019","Champaign County, Illinois","81856","2468","50335","2837","76.3","1.3","56218","4637","12.6","1.1","31209","1231","N","N","80050","77051","8.4","1.0","24465","6452","N","N","-","**","N","N","50687","49480","N","N","31854","20080","N","N","40952","20604","72.8","1.4","57151","5523","16.0","1.9","10918","3536","36.5","1.6","52349","5810","29.1","1.5","79003","8501","18.3","1.0","52272","3153","43277","2161","75204","4288","46.0","2.8","71436","9330","54.0","2.8","79779","8099","71.7","2.5","95343","4993","19.4","2.4","31659","2532","9.0","2.0","48860","12106","38579","2345","30381","2693","46.2","3.0","30278","3813","35.7","3.1","30198","4161","10.5","2.0","32174","14332","53.8","3.0","30501","3884","38.6","3.5","26175","4454","15.2","2.8","53575","11581","31.4","(X)","(X)","(X)","32.9","(X)","(X)","(X)","29.0","(X)","(X)","(X)",
"0500000US17031","Cook County, Illinois","1963973","8769","60046","784","60.0","0.4","71981","778","24.2","0.3","36477","1117","0.2","0.1","38150","18168","6.5","0.2","76554","4676","N","N","N","N","7.2","0.3","46286","2847","1.8","0.2","54995","5203","18.1","0.2","51017","945","49.9","0.3","77170","1087","3.1","0.2","29993","3161","37.2","0.3","67676","1815","37.0","0.3","70142","1338","22.8","0.2","37257","838","1176696","10411","73913","1234","42.6","0.6","67133","1995","57.4","0.6","78569","1506","67.5","0.7","93563","1437","23.9","0.6","38270","1521","8.6","0.5","52237","2756","787277","10577","40443","809","54.9","0.8","35011","1289","47.0","0.9","30452","885","7.8","0.5","75096","4248","45.1","0.8","47962","2419","35.6","0.8","39994","2001","9.5","0.5","86328","4509","36.6","(X)","(X)","(X)","39.9","(X)","(X)","(X)","30.7","(X)","(X)","(X)",
